,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1400.0,7.77777777778e-05,7.77777777778e-05,3521316.40142,18.1101478398,400.0,0.157700985282,50000.0,2.97512878796,200.0,1724.95532541,0.0
0,1400.0,9.16666666667e-05,9.16666666667e-05,3522797.40029,10.3982334801,400.0,0.158338796067,50000.0,2.9723012361,300.0,1723.34817406,0.0
0,1400.0,5.83333333333e-05,5.83333333333e-05,3521792.8002,4.24777955094,400.0,0.158691280347,50000.0,2.96894852628,400.0,1722.2939777,0.0
0,1400.0,9.16666666667e-05,9.16666666667e-05,3518427.57233,7.46003051228,400.0,0.169244294489,50000.0,2.97219472808,500.0,1723.50966953,0.0
0,1400.0,8.05555555556e-05,8.05555555556e-05,3521702.54399,7.38019945112,400.0,0.167026949217,50000.0,2.96593655578,600.0,1723.06222368,0.0
0,1400.0,6.94444444444e-05,6.94444444444e-05,3521744.38512,7.28574069687,400.0,0.161023352241,50000.0,2.97218254871,700.0,1725.08682656,0.0
0,1400.0,5.27777777778e-05,5.27777777778e-05,3521307.07455,0.950708261066,400.0,0.158702669569,50000.0,2.96669319741,800.0,1723.06177754,0.0
0,1400.0,5.83333333333e-05,5.83333333333e-05,3523566.02322,4.36889661999,400.0,0.163612177618,50000.0,2.96717751448,900.0,1722.29040351,0.0
0,1400.0,5.83333333333e-05,5.83333333333e-05,3520983.02554,2.56737969116,400.0,0.161840197342,50000.0,2.96557779315,1000.0,1721.06136711,0.0
0,1400.0,6.38888888889e-05,6.38888888889e-05,3519448.91358,0.85593996307,400.0,0.163138900392,50000.0,2.97418972703,1100.0,1724.43510416,0.0
0,1400.0,7.22222222222e-05,7.22222222222e-05,3518782.71426,1.86917576378,400.0,0.158815805388,50000.0,2.96662573528,1200.0,1723.48077315,0.0
0,1400.0,5.83333333333e-05,5.83333333333e-05,3524500.33409,0.0,400.0,0.165120203643,50000.0,2.972665782,1300.0,1722.64401752,0.0
0,1400.0,5.27777777778e-05,5.27777777778e-05,3521648.07684,0.0,400.0,0.163326844788,50000.0,2.97256351445,1400.0,1724.61130595,0.0
0,1400.0,7.77777777778e-05,7.77777777778e-05,3520813.7315,1.82757333458,400.0,0.163127406381,50000.0,2.96396188532,1500.0,1723.27237529,0.0
0,1400.0,8.88888888889e-05,8.88888888889e-05,3519745.28975,1.04144865805,400.0,0.158518060828,50000.0,2.9655709895,1600.0,1723.40345519,0.0
0,1400.0,6.11111111111e-05,6.11111111111e-05,3517817.97736,0.57767385039,400.0,0.170074087083,50000.0,2.96975757059,1700.0,1723.25445613,0.0
0,1400.0,9.44444444444e-05,9.44444444444e-05,3518692.35551,0.439895925502,400.0,0.164080782805,50000.0,2.97001894424,1800.0,1722.86080198,0.0
0,1400.0,8.61111111111e-05,8.61111111111e-05,3518870.72233,2.04509967243,400.0,0.164808440652,50000.0,2.9734795264,1900.0,1724.93591372,0.0
0,1400.0,3.88888888889e-05,3.88888888889e-05,3524590.38968,0.0,400.0,0.160412517665,50000.0,2.97292220931,2000.0,1723.89711504,0.0
0,1400.0,6.66666666667e-05,6.66666666667e-05,3523412.97883,0.0,400.0,0.166395724894,50000.0,2.97322792919,2100.0,1723.66939549,0.0
0,1400.0,8.88888888889e-05,8.88888888889e-05,3522165.48147,0.0,400.0,0.160348748502,50000.0,2.97146428266,2200.0,1723.52004229,0.0
0,1400.0,7.22222222222e-05,7.22222222222e-05,3520803.4461,0.0,400.0,0.164191695196,50000.0,2.96798008179,2300.0,1723.88926425,0.0
0,1400.0,5.55555555556e-05,5.55555555556e-05,3523072.73069,0.0,400.0,0.160300433707,50000.0,2.96702905824,2400.0,1722.22670051,0.0
0,1500.0,0.000175,0.000175,3366709.25946,28.0691470773,500.0,0.199459666085,50000.0,2.9665354894,0.0,2154.46871369,0.0
0,1500.0,0.000172222222222,0.000172222222222,3368728.92491,34.9664094632,500.0,0.208644437742,50000.0,2.9683949556,100.0,2152.90535664,0.0
0,1500.0,0.000155555555556,0.000155555555556,3365743.77695,22.9150458151,500.0,0.196775931647,50000.0,2.96787656063,200.0,2155.37869764,0.0
0,1500.0,0.000130555555556,0.000130555555556,3366850.11347,17.8128245692,500.0,0.199875357018,50000.0,2.96703776657,300.0,2152.92541366,0.0
0,1500.0,0.000133333333333,0.000133333333333,3365382.41045,17.6936467575,500.0,0.216114305294,50000.0,2.97518857081,400.0,2156.04121697,0.0
0,1500.0,0.000208333333333,0.000208333333333,3361826.08607,19.081948731,500.0,0.208673073825,50000.0,2.97254209307,500.0,2154.36699744,0.0
0,1500.0,0.000125,0.000125,3367612.19796,10.6354125743,500.0,0.200542012653,50000.0,2.96974512699,600.0,2154.71072844,0.0
0,1500.0,0.000163888888889,0.000163888888889,3361755.24273,10.6529476688,500.0,0.200443671899,50000.0,2.96624292771,700.0,2153.79869939,0.0
0,1500.0,0.000158333333333,0.000158333333333,3363431.08742,12.1241217114,500.0,0.20859067128,50000.0,2.95863520399,800.0,2153.00283453,0.0
0,1500.0,0.000152777777778,0.000152777777778,3362284.08422,4.76925779888,500.0,0.200808764895,50000.0,2.97048610336,900.0,2153.84727737,0.0
0,1500.0,0.000161111111111,0.000161111111111,3360941.43705,7.30308566888,500.0,0.200920297801,50000.0,2.96445954595,1000.0,2152.8322354,0.0
0,1500.0,0.000172222222222,0.000172222222222,3362167.44472,2.86589368983,500.0,0.201058725106,50000.0,2.9732179697,1100.0,2154.91470766,0.0
0,1500.0,0.000194444444444,0.000194444444444,3361900.55375,2.20494586358,500.0,0.208126417231,50000.0,2.97183869466,1200.0,2153.5291319,0.0
0,1500.0,0.000163888888889,0.000163888888889,3360372.99438,3.57223695219,500.0,0.210581049602,50000.0,2.97180075319,1300.0,2153.67066046,0.0
0,1500.0,0.000213888888889,0.000213888888889,3357698.57313,8.21851170529,500.0,0.205302872333,50000.0,2.96397778504,1400.0,2152.08757421,0.0
0,1500.0,0.000119444444444,0.000119444444444,3366554.51536,1.40362140449,500.0,0.197672158417,50000.0,2.96518950913,1500.0,2152.83414246,0.0
0,1500.0,0.000152777777778,0.000152777777778,3363538.06373,2.32855526346,500.0,0.197271846514,50000.0,2.97455774776,1600.0,2153.71896262,0.0
0,1500.0,0.000138888888889,0.000138888888889,3360624.0957,4.39474037299,500.0,0.199944628599,50000.0,2.96351774894,1700.0,2153.7552363,0.0
0,1500.0,0.000136111111111,0.000136111111111,3361761.42134,0.0109826928022,500.0,0.203185571155,50000.0,2.9658438567,1800.0,2153.85610492,0.0
0,1500.0,0.000163888888889,0.000163888888889,3361387.41241,0.0,500.0,0.204916221246,50000.0,2.97187548406,1900.0,2154.63110101,0.0
0,1500.0,0.000188888888889,0.000188888888889,3362846.47582,0.556457129772,500.0,0.197995503361,50000.0,2.9613168423,2000.0,2152.16870383,0.0
0,1500.0,0.000130555555556,0.000130555555556,3362680.72554,1.92460235854,500.0,0.202277137213,50000.0,2.96991577279,2100.0,2155.0160748,0.0
0,1500.0,0.000136111111111,0.000136111111111,3363544.86016,0.617099675356,500.0,0.196986822338,50000.0,2.96638790853,2200.0,2153.08451855,0.0
0,1500.0,0.000186111111111,0.000186111111111,3359079.97463,0.18868707427,500.0,0.211607834785,50000.0,2.97662764348,2300.0,2155.70443554,0.0
0,1500.0,0.000225,0.000225,3361195.32243,0.811649517525,500.0,0.204750573617,50000.0,2.9681504192,2400.0,2154.02104599,0.0
0,1600.0,0.000372222222222,0.000372222222222,3212964.90621,83.2327375792,600.0,0.245734992711,50000.0,2.97437125722,0.0,2586.55970864,0.0
0,1600.0,0.000383333333333,0.000383333333333,3211635.3401,80.0085926275,600.0,0.241568723919,50000.0,2.9716365025,100.0,2583.85859775,0.0
0,1600.0,0.000433333333333,0.000433333333333,3208234.85026,69.7598460662,600.0,0.247459896939,50000.0,2.96829817047,200.0,2585.97056806,0.0
0,1600.0,0.000402777777778,0.000402777777778,3205803.4479,49.4601841202,600.0,0.240141424518,50000.0,2.97113789735,300.0,2584.32882924,0.0
0,1600.0,0.000441666666667,0.000441666666667,3201812.4275,62.1373158383,600.0,0.249209185581,50000.0,2.97365500905,400.0,2586.72144834,0.0
0,1600.0,0.000352777777778,0.000352777777778,3200378.39344,31.5020173415,600.0,0.231074096006,50000.0,2.97153512767,500.0,2586.18095759,0.0
0,1600.0,0.000391666666667,0.000391666666667,3201774.72561,30.7642273876,600.0,0.245362603934,50000.0,2.97414623192,600.0,2586.63403085,0.0
0,1600.0,0.000355555555556,0.000355555555556,3198096.35279,40.077883908,600.0,0.234011159579,50000.0,2.97449319925,700.0,2586.32194477,0.0
0,1600.0,0.000458333333333,0.000458333333333,3197755.61338,22.2473504093,600.0,0.243765806236,50000.0,2.97833117699,800.0,2587.77972031,0.0
