DMU,(I)Pannel,(I)Wind,(I)Battery
2091,1494.20162400288,20.5452723300396,1961.13963150378
2092,1489.80790461474,20.4848586884526,2048.48586884526
2093,1485.62360388828,20.4273245534638,2135.5839305894
2094,1483.24787106955,20.3946582272063,2224.87180660432
2095,1700,22,100
2096,1683.51532896966,21.7866689631367,198.060626937607
2097,1676.47997297414,21.6956231796654,295.849406995437
2098,1667.32945194933,21.5772046722855,392.312812223372
2099,1663.89207149242,21.532720925196,489.380021027182
2100,1655.17375130548,21.4198956051297,584.178971048991
2101,1645.14691970766,21.2901366079815,677.413437526684
2102,1639.76645380672,21.2205070492635,771.6548017914
2103,1632.55783175371,21.1272189991657,864.29532269314
2104,1627.06968189102,21.0561958832956,957.099812877071
2105,1620.43872285771,20.9703834722763,1048.51917361381
2106,1612.79257772257,20.8714333587626,1138.44181956887
2107,1607.27672266541,20.8000517050818,1229.0939643912
2108,1603.38765210338,20.7497225566319,1320.43688996749
2109,1596.40492917896,20.6593579070218,1408.59258456967
2110,1590.80536069296,20.5868929030854,1497.22857476984
2111,1584.93172112962,20.5108810969715,1584.93172112962
2112,1579.91070081088,20.4459031869644,1672.846624388
2113,1573.21495048607,20.359252300408,1758.29906230796
2114,1566.60545639275,20.273717670965,1843.065242815
2115,1562.43506455447,20.2197478942343,1930.06684444964
2116,1556.95092516217,20.1487766785693,2014.87766785693
2117,1551.48652400598,20.0780608989009,2099.07000306691
2118,1546.05046503247,20.0077119004202,2182.65948004584
2119,1800,22,100
2120,1751.29563575803,21.4047244370426,194.588403973114
2121,1744.23237759866,21.3183957262058,290.705396266443
2122,1738.02860314323,21.242571816195,386.228578476273
2123,1729.0322668463,21.1326165947881,480.286740790638
2124,1722.20883662563,21.0492191143133,574.069612208544
2125,1716.32653494126,20.9773243159488,667.460319143824
2126,1706.6321574392,20.8588374798125,758.50318108409
2127,1700.38650610473,20.78250174128,850.193253052365
2128,1693.80664874484,20.702081262437,941.003693747135
2129,1687.9708149319,20.6307544047232,1031.53772023616
2130,1681.42995471776,20.5508105576616,1120.95330314518
2131,1675.53481520238,20.4787588524735,1210.10847764616
2132,1668.38545009141,20.3913777233395,1297.63312784888
2133,1662.62098889612,20.3209231976193,1385.51749074677
2134,1655.10744978783,20.2290910529624,1471.20662203363
2135,1649.89011463314,20.165323623294,1558.22955270908
2136,1644.13998328551,20.0950442401562,1644.13998328551
2137,1637.93348535884,20.0191870432747,1728.929790101
2138,1632.85569746042,19.957125191183,1814.28410828936
2139,1628.48071020861,19.9036531247719,1899.89416191005
2140,1620.96823406834,19.8118339719463,1981.18339719463
2141,1615.44609610119,19.7443411745701,2064.18112279597
2142,1610.15763019,19.6797043689889,2146.87684025333
2143,1900,22,100
2144,1815.81948034911,21.025278193516,191.138892668328
2145,1806.79388468832,20.9207712963911,285.283244950788
2146,1796.99837066037,20.8073495550148,378.315446454814
2147,1793.40142497025,20.7657007101819,471.947743413224
2148,1783.39734511532,20.6498639960721,563.178108983785
2149,1778.98947983157,20.5988255559445,655.417176780051
2150,1771.99265864468,20.5178097316753,746.102172060918
2151,1764.89691882765,20.4356485337938,836.003803655202
2152,1758.59320342883,20.3626581449654,925.575370225702
2153,1751.56926240541,20.2813283015364,1014.06641507682
2154,1746.40985522498,20.2215877973418,1102.99569803683
2155,1740.52959263684,20.1535005463213,1190.88866864626
2156,1732.02801660783,20.0550612449327,1276.23117013208
