DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
578,2200,14,1600,0.858341666667,0.956571465506,1.70789513852,173990.869427,4071540.55547,50000,22134.2752123,18200
579,2200,14,1700,0.861275,0.950448575872,1.70611713232,168951.95037,4077554.88646,50000,22159.0403119,18200
580,2200,14,1800,0.865211111111,0.942839271799,1.70633195158,164760.183567,4076881.98078,50000,22156.1503364,18200
581,2200,14,1900,0.866691666667,0.938501735618,1.7061047706,161068.073278,4069628.85465,50000,22138.0719794,18200
582,2200,14,2000,0.869877777778,0.94290393492,1.70629406148,155727.640442,4080823.94093,50000,22185.3899894,18200
583,2200,14,2100,0.871986111111,0.948535720629,1.70727632471,153217.005937,4071401.58358,50000,22157.6326786,18200
584,2200,14,2200,0.875341666667,0.950323721502,1.70762358003,149037.305021,4061234.38658,50000,22133.626882,18200
585,2200,14,2300,0.877952777778,0.950156767827,1.70721923422,145215.187473,4066310.67613,50000,22155.0771534,18200
586,2200,14,2400,0.879630555556,0.945977527288,1.70646976968,142067.132121,4057690.77758,50000,22140.44996,18200
587,2300,14,100,0.824505555556,0.95890824436,1.7376498064,236531.337558,4219566.88552,50000,22564.1752966,18300
588,2300,14,200,0.826833333333,0.953095972137,1.73101170418,231595.91491,4238850.48394,50000,22607.5876524,18300
589,2300,14,300,0.831802777778,0.962516895869,1.73891032408,222173.386961,4236537.77061,50000,22611.1159108,18300
590,2300,14,400,0.832541666667,0.946400349941,1.72816166871,220136.731334,4231120.73741,50000,22599.5851453,18300
591,2300,14,500,0.837919444444,0.959736380208,1.73369493008,211148.417981,4221049.90948,50000,22565.4428672,18300
592,2300,14,600,0.840066666667,0.960520015905,1.74099700212,208788.166132,4215392.33712,50000,22551.3752185,18300
593,2300,14,700,0.843755555556,0.954342320317,1.73183418794,202165.028822,4218762.1059,50000,22566.3143626,18300
594,2300,14,800,0.848605555556,0.948954349373,1.73837951784,194562.298667,4220846.88545,50000,22582.2485723,18300
595,2300,14,900,0.849694444444,0.942832384431,1.73502977674,191257.577743,4225136.66852,50000,22587.4763149,18300
596,2300,14,1000,0.852177777778,0.956428122251,1.73291853476,186733.784774,4220195.64349,50000,22582.7739064,18300
597,2300,14,1100,0.856766666667,0.967398277673,1.74101799444,179610.884909,4222384.9029,50000,22593.1563059,18300
598,2300,14,1200,0.858966666667,0.95740538512,1.73253453358,175227.769017,4223827.54821,50000,22597.7181943,18300
599,2300,14,1300,0.862102777778,0.95799849725,1.73865998819,169682.590308,4209608.43132,50000,22565.3961014,18300
600,2300,14,1400,0.863888888889,0.958759592697,1.73596523837,167247.911285,4211513.94216,50000,22574.0839074,18300
