DMU,sy1,sy2,sy3
1404,0,0.0186464377736909,0.0330202652965217
1405,0,0.0265943048700617,0.0379145791210645
1406,0,0.0223066509249796,0.0486007835829475
1407,0,0.0302872687159972,0.0530214141984506
1408,0,0.0269382884576347,0.0623122931149378
1409,0,0.0308725362626953,0.066133834173908
1410,0,0.0357931121042854,0.0697310930617747
1411,0,0.0306462874785297,0.0771137221746175
1412,0,0.0332077098930324,0.0834221864142163
1413,0,0.0333933780827605,0.0835189389912683
1414,0,0.0471082291077995,0.0914650024625145
1415,0,0.0306801909030175,0.0977573428232569
1416,0,0.0348708442260483,0.100923239371297
1417,0,0.0503726108062927,0.110505354854128
1418,0,0.0464050641950821,0.109715389493567
1419,0,0.0400386458562567,0.122449355142782
1420,0,0.0424974563585803,0.126189799017487
1421,0,0,0
1422,0,0.00427835501613191,0.0268810584335855
1423,0,0.00979806830990104,0.0345755674083451
1424,0,0.00586406698244042,0.0408351151483612
1425,0,0.0204687355583297,0.0458444615233366
1426,0,0.0201954870561585,0.0450195705007878
1427,0,0.0331758687041002,0.0597136946598065
1428,0,0.0169838169836356,0.0631714815977781
1429,0,0.0300062801897024,0.062398346341491
1430,0,0.0222087357370016,0.0684513810727088
1431,0,0.0310689637614494,0.0775737371999678
1432,0,0.0325133976379679,0.0841463774567654
1433,0,0.0482315464254096,0.0902373165111103
1434,0,0.0381967898703164,0.0931745780709438
1435,0,0.0497289777705785,0.102835184806172
1436,0,0.0496783888442421,0.103826052297906
1437,0,0.0519188543470347,0.10958543671627
1438,0,0.0416599963370368,0.108016633243845
1439,0,0.0568246247649509,0.118351616868506
1440,0,0.0539889818568072,0.1233642992449
1441,0,0.0629547216311941,0.125679091312513
1442,0,0.0685927750276667,0.127574509161048
1443,0,0.0467971662371609,0.134627197529087
1444,0,0.0508969560287961,0.149860965034008
1445,0,0,0
1446,0,0.0232997284301973,0.0590468433992377
1447,0,0.0247524407689101,0.064485508289145
1448,0,0.0280541068914462,0.0666516967379823
1449,0,0.0280139180084575,0.0709569711074966
1450,0,0.0346897183160298,0.0749507632104575
1451,0,0.034486466955986,0.0786607713425446
1452,0,0.0397712265025205,0.080168090973944
1453,0,0.0554523140054518,0.0824182170451995
1454,0,0.0500755170097226,0.0900812251063081
1455,0,0.0610494292597175,0.0984473481422728
1456,0,0.0530015255525492,0.0968002053082795
1457,0,0.0507189877844943,0.10663977126341
1458,0,0.0545227807264455,0.116240473844424
1459,0,0.0559842606270175,0.117456801253261
1460,0,0.0611980530876368,0.129147356245719
1461,0,0.0708637108991484,0.127009568351448
1462,0,0.0525716205437294,0.1323233462926
1463,0,0.0587001114028447,0.143553060141416
1464,0,0.0726306312897464,0.144511255992102
1465,0,0.0724849562858296,0.154372019995838
1466,0,0.0617868020285785,0.150829678709633
1467,0,0.0701344020892666,0.160895309184793
1468,0,0.069110863041038,0.165345262275878
1469,0,0,0
1470,0,0.0199648167288521,0.0785575819640721
1471,0,0.0299265517368202,0.0878967374710168
1472,0,0.0302265941143835,0.091037857419321
1473,0,0.0298102080065208,0.100885124269036
1474,0,0.0649350716648904,0.101318257713285
1475,0,0.0501141737261614,0.0978037307351756
1476,0,0.0537705561848074,0.103638684620233
1477,0,0.0428905914387792,0.110714428638757
1478,0,0.0484991254969675,0.112752887701873
1479,0,0.063491816364033,0.123588667262269
1480,0,0.0576029148331256,0.132169252741107
1481,0,0.0514742172739175,0.130104281698202
1482,0,0.059581129362776,0.136338984361364
1483,0,0.0668274902568548,0.138316118454504
1484,0,0.0705596450504501,0.141896143097945
1485,0,0.0788029315803055,0.148908419065513
1486,0,0.0679243807346079,0.158645524407409
1487,0,0.078321422024262,0.165109406964734
1488,0,0.0686074817411751,0.163932996914922
1489,0,0.0689431265245654,0.171406655659563
1490,0,0.0624068524743312,0.176812794482407
1491,0,0.0775036408903921,0.184092371666004
1492,0,0.0766725534975702,0.182091169936854
1493,0,0,0
1494,0,0.0385088276012203,0.104089237571447
1495,0,0.0499452859154949,0.109340677947399
1496,0,0.0488464768457376,0.113903210126759
1497,0,0.0469175262328697,0.113605061817
1498,0,0.0460291152302607,0.121308950181815
1499,0,0.0556565057979745,0.123979409032186
1500,0,0.0645035935036031,0.131112821833654
1501,0,0.0508086249066275,0.131729932182919
1502,0,0.0606571147411845,0.143252528308223
1503,0,0.0603121975656044,0.148616797941117
1504,0,0.0614871277947035,0.14751452597521
1505,0,0.0606438336401925,0.156534577297013
1506,0,0.0615105943360407,0.158446948807487
1507,0,0.0844922777881946,0.168039850061368
1508,0,0.062152622960713,0.169922818466932
1509,0,0.0623685839408996,0.171995712814583
1510,0,0.0605107778663575,0.180463594937248
1511,0,0.0701941229350288,0.183514930031471
1512,0,0.0690859221848481,0.191572679628165
1513,0,0.0758030995331654,0.19327029691645
1514,0,0.0824701422625453,0.198892134349364
1515,0,0.0887194093425331,0.197674603266653
1516,0,0.0841060195811187,0.210850025129246
1517,0,0,0
1518,0,0.0517363362683751,0.12861735501933
1519,0,0.0473485708437831,0.127199555799563
1520,0,0.0544220946668511,0.137579298761232
1521,0,0.0656945050150496,0.136730367032776
1522,0,0.0656016721313004,0.143872539137361
1523,0,0.0540868371394287,0.149526888392015
1524,0,0.0655961124798297,0.152005266380457
1525,0,0.0592848216832432,0.155544532072482
1526,0,0.0632885323874784,0.164668073859753
1527,0,0.0734377282902091,0.169839748021173
1528,0,0.0682048028989015,0.167103281158197
1529,0,0.063133768817631,0.177161258360652
1530,0,0.0808705237860588,0.185830218538967
1531,0,0.0685679403887691,0.18601127626001
1532,0,0.0812395857392538,0.186658454021864
1533,0,0.0681747324786745,0.198661024821914
1534,0,0.0731877472122673,0.198785765884328
1535,0,0.0771625200479215,0.196614169276394
