DMU,V1
1440,1830
1441,1873
1442,1958
1443,1989
1444,2044
1445,69.5
1446,937
1447,1000
1448,1105
1449,1160
1450,1256
1451,1330
1452,1387
1453,1458
1454,1506
1455,1562
1456,1643
1457,1700
1458,1738
1459,1805
1460,1859
1461,1912
1462,1947
1463,2013
1464,2049
1465,2102
1466,2151
1467,2193
1468,2230
1469,161
1470,1278
1471,1339
1472,1414
1473,1487
1474,1531
1475,1601
1476,1669
1477,1721
1478,1769
1479,1838
1480,1886
1481,1937
1482,1992
1483,2034
1484,2090
1485,2141
1486,2165
1487,2206
1488,2249
1489,2298
1490,2313
1491,2362
1492,2411
1493,69.5
1494,1573
1495,1621
1496,1693
1497,1754
1498,1810
1499,1869
1500,1915
1501,1977
1502,2010
1503,2060
1504,2119
1505,2153
1506,2195
1507,2243
1508,2297
1509,2315
1510,2358
1511,2390
1512,2424
1513,2450
1514,2483
1515,2506
1516,2542
1517,69.5
1518,1846
1519,1896
1520,1951
1521,2021
1522,2043
1523,2101
1524,2139
1525,2174
1526,2222
1527,2260
1528,2310
1529,2343
1530,2379
1531,2399
1532,2440
1533,2475
1534,2504
1535,2525
1536,2554
1537,2579
1538,2607
1539,2633
1540,2648
1541,69.5
1542,2066
1543,2138
1544,2183
1545,2201
1546,2258
1547,2303
1548,2330
1549,2370
1550,2403
1551,2433
1552,2467
1553,2497
1554,2524
1555,2548
1556,2572
1557,2600
1558,2621
1559,2641
1560,2665
1561,2679
1562,2702
1563,2716
1564,2736
1565,69.5
1566,242
1567,322
1568,190
1569,288
1570,299
1571,498
1572,574
1573,650
1574,712
1575,178
1576,277
1577,282
1578,450
1579,566
1580,659
1581,725
1582,826
1583,892
1584,927
1585,1035
1586,1088
1587,69.5
1588,209
1589,300
1590,413
1591,492
1592,622
1593,686
1594,799
1595,891
1596,923
1597,1046
1598,1085
1599,1192
1600,1244
1601,1283
1602,1373
1603,1400
1604,69.5
1605,250
1606,370
1607,440
1608,542
1609,645
1610,765
1611,809
1612,904
1613,965
1614,1074
1615,1147
1616,1212
1617,1279
1618,1359
1619,1403
1620,1485
1621,1526
1622,1605
1623,1656
1624,1708
1625,171
1626,340
1627,447
1628,551
1629,660
1630,744
1631,859
1632,917
1633,1036
1634,1090
1635,1171
1636,1254
1637,1309
1638,1358
1639,1463
1640,1525
1641,1589
1642,1626
1643,1697
1644,1743
1645,1811
1646,1852
1647,1908
1648,1957
1649,156
1650,771
1651,846
1652,957
1653,1044
1654,1121
1655,1206
1656,1271
1657,1355
1658,1417
1659,1473
1660,1543
1661,1612
1662,1658
1663,1723
1664,1776
1665,1835
1666,1875
1667,1939
1668,1969
1669,2056
1670,2083
1671,2132
1672,2166
1673,69.5
1674,1132
1675,1197
1676,1287
1677,1365
1678,1418
1679,1518
1680,1572
1681,1638
1682,1702
1683,1770
1684,1809
1685,1874
1686,1914
1687,1970
1688,2019
1689,2062
1690,2105
1691,2156
1692,2210
1693,2240
1694,2271
1695,2314
1696,2354
1697,160
1698,1459
1699,1528
1700,1595
1701,1651
1702,1724
1703,1792
1704,1845
1705,1898
1706,1950
1707,1993
1708,2035
1709,2094
1710,2127
1711,2191
1712,2229
1713,2276
1714,2299
1715,2342
1716,2374
1717,2416
1718,2449
1719,2477
1720,2513
1721,69.5
1722,1710
1723,1807
1724,1877
1725,1929
1726,1978
1727,2039
1728,2075
1729,2122
1730,2168
1731,2204
1732,2254
1733,2281
1734,2334
1735,2360
1736,2392
1737,2431
1738,2461
1739,2491
1740,2523
1741,2553
1742,2578
1743,2603
1744,2622
1745,69.5
1746,1996
1747,2042
1748,2091
1749,2149
1750,2187
1751,2232
1752,2264
1753,2304
1754,2346
1755,2381
1756,2415
1757,2455
1758,2489
1759,2519
1760,2541
1761,2563
1762,2597
1763,2615
1764,2640
1765,2659
1766,2676
1767,2696
1768,2710
1769,148
1770,2220
1771,2267
1772,2293
1773,2338
1774,2363
1775,2400
1776,2439
1777,2472
1778,2503
1779,2537
1780,2557
1781,2580
1782,2613
1783,2630
1784,2656
1785,2673
1786,2688
1787,2708
1788,2724
1789,2739
1790,2754
1791,2762
1792,2774
1793,69.5
1794,192
1795,320
1796,374
1797,506
1798,614
1799,69.5
1800,272
1801,304
1802,289
1803,516
1804,657
1805,738
1806,817
1807,890
1808,940
1809,191
1810,303
1811,415
1812,570
1813,624
1814,698
1815,797
1816,894
1817,941
1818,1061
1819,1109
1820,1186
1821,1230
1822,1321
1823,143
1824,239
1825,344
1826,463
1827,567
1828,676
1829,768
1830,845
1831,938
1832,1018
1833,1077
1834,1169
1835,1210
1836,1316
1837,1376
1838,1420
1839,1508
1840,1545
1841,1607
1842,69.5
1843,224
1844,372
1845,481
1846,605
1847,671
1848,770
1849,855
1850,962
