DMU,V1
2058,2695
2059,2420
2060,1503
2061,784
2062,1689
2063,1887
2064,1273
2065,1926
2066,1542
2067,2138
2068,2216
2069,630
2070,952
2071,1965
2072,2715
2073,2676
2074,1096
2075,1728
2076,2440
2077,2401
2078,765
2079,933
2080,2177
2081,2382
2082,1312
2083,1670
2084,1946
2085,1907
2086,1135
2087,2197
2088,953
2089,2421
2090,1484
2091,1748
2092,631
2093,1254
2094,1709
2095,2460
2096,2657
2097,1077
2098,1116
2099,2736
2100,2638
2101,1523
2102,1465
2103,2158
2104,914
2105,1690
2106,1332
2107,2696
2108,2139
2109,1927
2110,1888
2111,934
2112,1293
2113,2217
2114,2402
2115,785
2116,2677
2117,766
2118,1908
2119,1504
2120,1966
2121,2441
2122,1729
2123,2716
2124,1274
2125,1986
2126,1136
2127,1710
2128,2383
2129,1078
2130,2461
2131,1097
2132,1671
2133,1313
2134,632
2135,915
2136,2658
2137,1117
2138,1543
2139,1524
2140,2178
2141,1485
2142,786
2143,1275
2144,2198
2145,1333
2146,1947
2147,767
2148,2422
2149,1749
2150,1294
2151,1466
2152,2697
2153,1505
2154,1928
2155,954
2156,1691
2157,1098
2158,2403
2159,2159
2160,935
2161,2140
2162,1967
2163,2179
2164,916
2165,1486
2166,1672
2167,2737
2168,1730
2169,2678
2170,633
2171,1314
2172,1137
2173,2160
2174,1525
2175,2717
2176,1118
2177,2384
2178,2218
2179,2442
2180,2659
2181,768
2182,1987
2183,1544
2184,2462
2185,1295
2186,1948
2187,1750
2188,2199
2189,2482
2190,2423
2191,1711
2192,1909
2193,1467
2194,955
2195,1506
2196,2404
2197,1334
2198,2698
2199,1276
2200,2718
2201,1545
2202,2180
2203,787
2204,1731
2205,2141
2206,1487
2207,1929
2208,1315
2209,2219
2210,1692
2211,1138
2212,2660
2213,936
2214,1099
2215,956
2216,1968
2217,2738
2218,2443
2219,2679
2220,1770
2221,1949
2222,1526
2223,1119
2224,2161
2225,1296
2226,634
2227,1910
2228,788
2229,1712
2230,1468
2231,2699
2232,1751
2233,2463
2234,2424
2235,1988
2236,1100
2237,1277
2238,2200
2239,1335
2240,1693
2241,1316
2242,2142
2243,1507
2244,1139
2245,2483
2246,937
2247,1930
2248,1969
2249,1488
2250,2405
2251,2181
2252,2680
2253,2220
2254,1732
2255,2444
2256,2719
2257,957
2258,1546
2259,1911
2260,1527
2261,789
2262,2661
2263,1950
2264,1752
2265,2739
2266,1120
2267,1771
2268,2162
2269,1297
2270,2240
2271,1694
2272,1336
2273,2464
2274,2201
2275,1278
2276,1713
2277,1101
2278,790
2279,1989
2280,938
2281,1733
2282,2681
2283,2484
2284,2406
2285,2700
2286,1931
2287,958
2288,2182
2289,1298
2290,1140
2291,2221
2292,2425
2293,1772
2294,1912
2295,2720
2296,1970
2297,1508
2298,1489
2299,1714
2300,1951
2301,2445
2302,2662
2303,1547
2304,1753
2305,2163
2306,1337
2307,1317
2308,2760
2309,1990
2310,1528
2311,939
2312,1121
2313,1490
2314,1695
2315,1509
2316,2241
2317,1102
2318,2426
2319,1141
2320,2202
2321,2701
2322,1932
2323,2465
2324,2485
2325,2183
2326,2740
2327,1971
2328,1318
2329,2010
2330,1548
2331,2407
2332,2721
2333,791
2334,1734
2335,1299
2336,2222
2337,2682
2338,1773
2339,2446
2340,959
2341,1122
2342,1715
2343,1529
2344,2702
2345,940
2346,1754
2347,1338
2348,1991
2349,1142
2350,2427
2351,2242
2352,2203
2353,1952
2354,1696
2355,2741
2356,2164
2357,1933
2358,1510
2359,2466
2360,1735
2361,792
2362,1491
2363,1774
2364,2683
2365,2408
2366,2486
2367,1319
2368,2761
2369,2184
2370,1549
2371,1123
2372,1300
2373,2011
2374,1716
2375,2428
2376,960
2377,2447
2378,1972
2379,1530
2380,2506
2381,1755
2382,2223
2383,2165
2384,2243
2385,1339
2386,1953
2387,1992
2388,2467
2389,2722
2390,1511
2391,2204
2392,1736
2393,2742
2394,2703
2395,1143
2396,1301
2397,1934
2398,2684
2399,1531
2400,1775
2401,961
2402,1320
2403,1550
2404,1124
2405,2448
2406,2762
2407,2185
2408,2224
2409,2487
2410,1973
2411,1492
2412,2723
2413,2012
2414,1340
2415,1756
2416,1717
2417,1954
2418,1993
2419,2166
2420,2704
2421,2429
2422,2468
2423,1935
2424,1512
2425,1321
2426,2244
2427,2507
2428,962
2429,1144
2430,2205
2431,1737
2432,2743
2433,1551
2434,2449
2435,2186
2436,1974
2437,2685
2438,1302
2439,1776
2440,1532
2441,1125
2442,2225
2443,2488
2444,1955
2445,2264
2446,2763
2447,2013
2448,1341
2449,1718
2450,1513
2451,1994
2452,1145
2453,1322
2454,2430
2455,1757
2456,1936
2457,2705
2458,2508
2459,2245
2460,2724
2461,1738
2462,2744
2463,2206
2464,2686
2465,963
2466,2469
2467,1552
2468,2187
2469,1126
2470,1975
2471,1956
2472,1777
2473,2450
2474,2226
2475,1533
2476,2265
2477,1719
2478,2784
2479,1995
2480,1342
2481,2014
2482,2764
2483,1514
2484,2489
2485,2207
2486,2725
2487,2431
2488,1323
2489,1758
2490,2509
2491,1739
2492,2470
2493,1146
2494,2745
2495,964
2496,2706
2497,1553
2498,2188
2499,2246
2500,2451
2501,2227
2502,1976
2503,1778
2504,1534
2505,2266
2506,1515
2507,1957
2508,2726
2509,2015
2510,2208
2511,1343
2512,1996
2513,1720
2514,2765
2515,2432
2516,2490
2517,2471
2518,1324
2519,1759
2520,1147
2521,2785
2522,2707
2523,1740
2524,1554
2525,1535
2526,2189
2527,2510
2528,2746
2529,2228
2530,2247
2531,2530
2532,2766
2533,1344
2534,2452
2535,1958
2536,2267
2537,1779
2538,1977
2539,1148
2540,2727
2541,1760
2542,1516
2543,2016
2544,2491
2545,2708
2546,2209
2547,2472
2548,1555
2549,1997
2550,1325
2551,2248
2552,2786
2553,1741
2554,1536
2555,2747
2556,2511
2557,1780
2558,2453
2559,2190
2560,2728
2561,1978
2562,1345
2563,1761
2564,2229
2565,2017
2566,1959
2567,1326
2568,2709
2569,2268
2570,2767
2571,2492
2572,1556
2573,2210
2574,1998
2575,2531
2576,1149
2577,2249
2578,1742
2579,1537
2580,1781
2581,2473
2582,2512
2583,2493
2584,2729
2585,2454
2586,1346
2587,2748
2588,2018
2589,2230
2590,1960
2591,2787
2592,2269
2593,1979
2594,2710
2595,2532
2596,2211
2597,1762
2598,2749
2599,2250
2600,1557
2601,1150
2602,2768
2603,1743
2604,2788
2605,2474
2606,1999
2607,1538
2608,2730
2609,1980
2610,1347
2611,2513
2612,2019
2613,1782
2614,2270
2615,1763
2616,2231
2617,2455
2618,2808
2619,2000
2620,2769
2621,1558
2622,1744
2623,2494
2624,2514
2625,2212
2626,2533
2627,2251
2628,2789
2629,2475
2630,1783
2631,2456
2632,1348
2633,1539
2634,1981
2635,2232
2636,2750
2637,2495
2638,2271
2639,2731
2640,1764
2641,1559
2642,2213
2643,2534
2644,2020
2645,2809
2646,2770
2647,2476
2648,1540
2649,2001
2650,2252
2651,2233
2652,1982
2653,2790
2654,2751
2655,2515
2656,1784
2657,2021
2658,1349
2659,1765
2660,2732
