DMU,(O)Demand,(O)PctDemand s,(O)Risk
1422,0.813919,0.951145355016132,1.49529605843359
1423,0.817786,0.955922068309901,1.50233056740834
1424,0.820594,0.95945906698244,1.50742011514836
1425,0.824492,0.96426873555833,1.51451246152334
1426,0.825967,0.966242487056158,1.51715457050079
1427,0.831183,0.9725908687041,1.52666869465981
1428,0.833164,0.975192816983636,1.53017648159778
1429,0.835808,0.980637280189702,1.53125334634149
1430,0.839631,0.984324735737002,1.53880838107271
1431,0.840903,0.985027963761449,1.54168373719997
1432,0.845264,0.989355397637968,1.55021837745677
1433,0.847936,0.991634546425409,1.55570031651111
1434,0.851694,0.994750789870316,1.56344857807094
1435,0.853019,0.995034977770578,1.56672418480617
1436,0.856642,0.998009388844242,1.57421405229791
1437,0.859083,0.998421854347035,1.57650943671627
1438,0.86125,0.998515996337037,1.58022063324384
1439,0.863775,0.999186624764951,1.58568161686851
1440,0.866689,1.00032198185681,1.5918512992449
1441,0.869886,1.00179672163119,1.59853609131251
1442,0.870364,1.00015877502767,1.60021750916105
1443,0.873742,1.00187116623716,1.60722419752909
1444,0.875636,1.0018959560288,1.61149596503401
1445,0.825947,0.952787,1.492562
1446,0.827383,0.967228728430197,1.54644884339924
1447,0.831244,0.97199344076891,1.55339950828914
1448,0.833303,0.974649106891446,1.55698469673798
1449,0.837125,0.979364918008457,1.5638659711075
1450,0.839486,0.98236971831603,1.56801976321046
1451,0.842133,0.987264466955986,1.57021377134254
1452,0.845628,0.99470522650252,1.57141209097394
1453,0.848211,0.996938314005452,1.5766022170452
1454,0.851711,1.00025451700972,1.58349422510631
1455,0.855017,1.00334742925972,1.59002334814227
1456,0.856808,1.00466852555255,1.59373220530828
1457,0.859386,1.00691898778449,1.59890177126341
1458,0.863367,1.01081778072645,1.60667947384442
1459,0.865356,1.01238926062702,1.61074780125326
1460,0.867675,1.01435305308764,1.61542735624572
1461,0.870461,1.01584371089915,1.62064156835145
1462,0.873847,1.01752062054373,1.6276163462926
1463,0.875439,1.01712411140284,1.63124506014142
1464,0.87825,1.01816063128975,1.6371402559921
1465,0.880458,1.01851295628583,1.64190701999584
1466,0.882267,1.01842080202858,1.64592467870963
1467,0.884583,1.01893040208927,1.65088330918479
1468,0.887119,1.01970786304104,1.65624826227588
1469,0.836897,0.957317,1.514174
1470,0.839886,0.982177816728852,1.59498458196407
1471,0.843169,0.98626155173682,1.60077573747102
1472,0.845775,0.989551594114384,1.60528485741932
1473,0.848619,0.993118208006521,1.61024912426904
1474,0.852583,1.00103607166489,1.61246925771328
1475,0.854825,1.00385517372616,1.61556773073518
1476,0.857303,1.00601755618481,1.62040268462023
1477,0.860383,1.00889159143878,1.62637442863876
1478,0.863311,1.01159212549697,1.63205788770187
1479,0.865194,1.01307381636403,1.63576466726227
1480,0.868294,1.01598591483313,1.64177125274111
1481,0.87085,1.01826621727392,1.6467482816982
1482,0.873136,1.02012812936278,1.65111798436136
1483,0.875928,1.02257449025685,1.6564331184545
1484,0.877792,1.02293764505045,1.66031414309795
1485,0.879872,1.02320493158031,1.66471641906551
1486,0.883428,1.02520138073461,1.67190852440741
1487,0.886033,1.02610542202426,1.67729840696473
1488,0.888097,1.02639748174118,1.68166099691492
1489,0.889581,1.02603612652457,1.68492165565956
1490,0.893442,1.02842885247433,1.69268179448241
