DMU,u1,u2,u3
1691,0.000277748859485466,0.0163817900896473,6.15086732821691e-05
1692,0.000276050906980794,0.016281643858389,6.1132654435316e-05
1693,0.000274373588404185,0.0161827146282695,6.07612050601146e-05
1694,0.000272716529904503,0.0160849803493303,6.03942423656309e-05
1695,0.00027107936660778,0.0159884195010909,6.00316855489653e-05
1696,0.000269461742349361,0.0158930110767524,5.96734557359294e-05
1697,0.00013050502520951,0.0066274712593366,0.00593390021873296
1698,0.000302237129720238,0.0175523481888028,7.12753190572239e-05
1699,0.000300098170435609,0.0174281286458227,7.0770897229226e-05
1700,0.000297989273609804,0.0173056549728657,7.0273564905242e-05
1701,0.000295909809886687,0.0171848906202267,6.97831736668449e-05
1702,0.000293859167355769,0.017065800051352,6.92995792097416e-05
1703,0.000289374105406572,0.0172671429708327,6.71021703279234e-05
1704,0.000287445285158108,0.017152048999489,6.66549014727419e-05
1705,0.000285357542568147,0.0170688189613614,6.59697570885149e-05
1706,0.000283487383187493,0.0169569543454484,6.55374083972967e-05
1707,0.000281641577280306,0.0168465464459968,6.51106898103835e-05
1708,0.000279819652222435,0.0167375669927324,6.46894920651988e-05
1709,0.000278021147540657,0.0166299884421948,6.42737087082505e-05
1710,0.000276245614524667,0.0165237839545297,6.38632360054322e-05
1711,0.000274492615853865,0.0164189273711636,6.34579728557411e-05
1712,0.000272761725238239,0.0163153931933244,6.30578207082563e-05
1713,0.000274073655377137,0.0159764302345921,6.17157170683352e-05
1714,0.000271869938865138,0.0160350479149564,6.02067611578223e-05
1715,0.000270242893928206,0.0159390838534922,5.98464450952231e-05
1716,0.000268635207707335,0.0158442615804176,5.94904161031226e-05
1717,0.000267046536748329,0.0157505608386029,5.91385981221188e-05
1718,0.000265476545673784,0.0156579618472931,5.87909168814502e-05
1719,0.000263924906947058,0.0155664452881853,5.8447299846727e-05
1720,0.000262391300644463,0.0154759922919938,5.81076761694793e-05
1721,0.000136435790315305,0.00709297785840706,0.00557981704138188
1722,0.000293370387338818,0.0170374142701173,6.91843122612724e-05
1723,0.00029135467009138,0.0169203519786313,6.87089540877968e-05
1724,0.000289366463386642,0.016804887355257,6.82400836106218e-05
1725,0.000287405207845293,0.0166909879141763,6.77775689136625e-05
1726,0.000283081987296345,0.0168916881496558,6.56431082582104e-05
1727,0.000280800801876852,0.0168377411489718,6.49763041307003e-05
1728,0.000278988040698725,0.016729042016782,6.45568376589559e-05
1729,0.000277198534618856,0.0166217373368953,6.41427523340132e-05
1730,0.000275431838995497,0.0165158004471275,6.37339452673579e-05
1731,0.000273687520450621,0.0164112053607045,6.33303161768598e-05
1732,0.000271965156515499,0.0163079267450094,6.29317673047617e-05
1733,0.000270264335289577,0.0162059399011281,6.25382033387447e-05
1734,0.00026858465511207,0.0161052207441568,6.21495313359352e-05
1735,0.000266841527772407,0.0160164646245766,6.17462309394484e-05
1736,0.000265203993072177,0.0159181758881243,6.13673109242027e-05
1737,0.000260331116282321,0.016345736946235,5.90334148554082e-05
1738,0.000258803311954268,0.0162498087759554,5.86869656563892e-05
1739,0.000257293335440208,0.0161549999830371,5.83445591425257e-05
1740,0.000255800876503421,0.0160612910882569,5.80061249636679e-05
1741,0.000254325632063926,0.0159686630617505,5.76715943925495e-05
1742,0.000252867305993287,0.0158770973101305,5.73409002782541e-05
1743,0.000251425608916459,0.0157865756640417,5.70139770012846e-05
1744,0.00025000025802035,0.0156970803661436,5.66907604301495e-05
1745,0.000109228876790032,0.00578475323090915,0.00633078518764744
1746,0.000285009065349162,0.016551832518408,6.72124966438314e-05
1747,0.00028310623764441,0.0164413262598023,6.67637607393689e-05
1748,0.000281228649418129,0.0163322857778027,6.63209769556223e-05
1749,0.000276627919678147,0.01658752138522,6.40107140717248e-05
1750,0.000274868466993342,0.016482018805909,6.36035829952203e-05
1751,0.00027313125435286,0.0163778498129231,6.32015981856571e-05
1752,0.000271415862723156,0.0162749892796304,6.28046626801673e-05
1753,0.000269721883531888,0.0161734127066873,6.24126819365682e-05
1754,0.00026796401905114,0.0160838392270507,6.20059716413652e-05
1755,0.000266312721147618,0.0159847243903266,6.16238668672251e-05
1756,0.000264681650468552,0.015886823639834,6.12464426047088e-05
1757,0.000263070437622666,0.0157901148038287,6.08736133779196e-05
1758,0.000261478722158742,0.0156945762471686,6.0505295779659e-05
1759,0.000256679483916628,0.0161164573160224,5.82053604475379e-05
1760,0.000255194117358138,0.0160231937393104,5.78685345562968e-05
1761,0.00025372584308629,0.0159310033574798,5.75355845599638e-05
1762,0.000252274367764407,0.015839867752431,5.72064439406909e-05
1763,0.000250839404729928,0.0157497689251216,5.68810476940711e-05
1764,0.000249420673805665,0.0156606892837146,5.65593322863389e-05
1765,0.000244428085801551,0.0160724263031328,5.54127983779888e-05
1766,0.000243081105373397,0.0159838552880943,5.5107432672409e-05
1767,0.000241748889309272,0.0158962551072876,5.48054141056178e-05
1768,0.000240431196182204,0.0158096098856247,5.45066879451817e-05
1769,0.000105276440585161,0.00564294968165267,0.00634477548962561
1770,0.000277111146464008,0.0160931627898824,6.53499634436634e-05
1771,0.000273001814363717,0.0162901976087041,6.3305644509995e-05
1772,0.000270868783299041,0.0162421845950654,6.26780704524837e-05
1773,0.000269181604939153,0.0161410158223764,6.22876633970122e-05
1774,0.000267430758575465,0.0160518316620528,6.18825769630453e-05
1775,0.000265786006276554,0.0159531097081216,6.15019868197698e-05
1776,0.000264161361419722,0.0158555946507982,6.11260494708796e-05
1777,0.000262556457518603,0.0157592644926977,6.07546801126642e-05
1778,0.000260970936939358,0.0156640977677842,6.03877959898569e-05
1779,0.000259404450634978,0.0155700735254241,6.00253163341556e-05
1780,0.000257856657889112,0.01547717131501,5.96671623049439e-05
1781,0.00025312887647777,0.0158935208648456,5.74002147357227e-05
1782,0.000251684203743722,0.0158028123824277,5.70726166903669e-05
1783,0.000250255927680225,0.0157131334183683,5.67487368000624e-05
1784,0.000248843770715358,0.0156244665444115,5.64285121218195e-05
1785,0.00024387261976228,0.0160359015030028,5.52868720649839e-05
1786,0.000242531737647181,0.0159477314839746,5.4982888870708e-05
1787,0.000241205520016972,0.0158605257316013,5.46822301722318e-05
1788,0.000239893727613946,0.0157742685134362,5.4384841728902e-05
1789,0.00023859612635704,0.0156889444374241,5.409067047363e-05
1790,0.000237312487202585,0.0156045384427441,5.3799664481325e-05
1791,0.000236042586009523,0.0155210357909485,5.35117729383365e-05
1792,0.000234786203408936,0.0154384220573824,5.32269461128773e-05
1793,0.000393475683236566,0.0165911885048649,7.4755925630816e-05
1794,0.000353745429019894,0.0186046011898775,7.47171586433553e-05
1795,0.000348750736899065,0.0186600417366027,7.369674550598e-05
1796,0.000348537088828084,0.0183306779553119,7.36170670281552e-05
1797,0.000345990011838822,0.0181967190467363,7.30790802730732e-05
1798,0.000338524605312208,0.0194423859244629,6.31782952835039e-05
1799,0.000352328638312004,0.0187471986795344,7.53658227286469e-05
1800,0.000346865445655404,0.0188220733532396,7.44530222902517e-05
1801,0.000346293598682989,0.0185704649061459,7.36524698910306e-05
1802,0.00035216344167246,0.0189061064381025,6.10794146991126e-05
1803,0.000339712719036203,0.0185537624185638,7.09332539786719e-05
1804,0.00033683411840511,0.0182777401551645,7.22998454871958e-05
1805,0.000334416293768325,0.0181465409445229,7.17808708996973e-05
1806,0.000332032932462372,0.0180172118288966,7.1269293702659e-05
1807,0.000326017075190967,0.0186180672121392,6.63463840337921e-05
1808,0.000327439957088524,0.0188057645231824,6.11095854538485e-05
1809,0.000350877080638762,0.0186255191573218,7.5044069761907e-05
1810,0.000348263569081396,0.0184867867856005,7.44851032335793e-05
1811,0.000345326168133639,0.0183801595844586,7.38672280968544e-05
1812,0.000342819266891639,0.0182410339393108,7.33638478121527e-05
1813,0.000337666977687188,0.0183229338713347,7.24786147807932e-05
1814,0.000335237224720121,0.0181910873897978,7.19570798337908e-05
1815,0.000332842189519788,0.018061124809815,7.14429968907078e-05
1816,0.000330481133262179,0.0179330060403369,7.09362073664756e-05
1817,0.000328153337939372,0.0178066921198643,7.04365571441002e-05
1818,0.000325858105631554,0.0176821451769457,6.99438964184046e-05
1819,0.000321951556198493,0.0177510187534034,6.87148913718035e-05
1820,0.000319754367535408,0.0176298752570845,6.82459401355056e-05
1821,0.000315723935779893,0.0180302502664561,6.42516698846008e-05
1822,0.00031370830751842,0.017915142484372,6.38414777293994e-05
1823,0.000380760746891008,0.0161996781982247,8.43159380194455e-05
1824,0.000350422212743952,0.0181050924094524,8.4453598587394e-05
1825,0.000347487555293068,0.0179534689038468,8.37463306878859e-05
1826,0.000344601642978224,0.0178043638892511,8.3050810622854e-05
1827,0.00033537562946151,0.0184961024804741,7.49808407716274e-05
1828,0.000332879669710443,0.0183584492842148,7.44228122679832e-05
1829,0.000330420586780499,0.0182228298596511,7.38730284154402e-05
1830,0.000327997569404021,0.0180891994650418,7.33313078366842e-05
1831,0.000325609829936647,0.0179575146614795,7.27974744359248e-05
