DMU,peer1,peer2,peer3,peer4,peer5
694,370,371,635,NA,NA
695,370,371,635,NA,NA
696,370,371,635,NA,NA
697,697,NA,NA,NA,NA
698,423,659,676,845,NA
699,423,659,845,NA,NA
700,201,423,676,NA,NA
701,423,659,845,NA,NA
702,301,423,659,NA,NA
703,301,423,659,NA,NA
704,301,371,659,NA,NA
705,301,371,659,NA,NA
706,301,371,659,NA,NA
707,301,371,659,NA,NA
708,301,371,659,NA,NA
709,301,371,659,NA,NA
710,301,371,659,NA,NA
711,301,371,659,NA,NA
712,301,371,659,NA,NA
713,301,371,659,NA,NA
714,301,371,659,NA,NA
715,301,371,659,NA,NA
716,301,371,659,NA,NA
717,175,179,371,NA,NA
718,263,370,371,NA,NA
719,263,370,371,NA,NA
720,263,370,371,NA,NA
721,721,NA,NA,NA,NA
722,423,659,845,NA,NA
723,423,659,845,NA,NA
724,423,659,845,NA,NA
725,301,423,659,NA,NA
726,301,423,659,NA,NA
727,301,371,659,NA,NA
728,301,371,659,NA,NA
729,301,371,659,NA,NA
730,301,371,659,NA,NA
731,301,371,659,NA,NA
732,301,371,659,NA,NA
733,301,371,659,NA,NA
734,301,371,659,NA,NA
735,301,371,659,NA,NA
736,301,371,659,NA,NA
737,301,371,659,NA,NA
738,188,301,371,NA,NA
739,188,301,371,NA,NA
740,188,301,371,NA,NA
741,175,179,371,NA,NA
742,175,179,371,NA,NA
743,175,263,371,NA,NA
744,175,263,371,NA,NA
745,745,NA,NA,NA,NA
746,423,659,845,NA,NA
747,423,659,845,NA,NA
748,301,423,659,NA,NA
749,301,423,659,NA,NA
750,301,423,659,NA,NA
751,301,371,659,NA,NA
752,301,371,659,NA,NA
753,301,371,659,NA,NA
754,301,371,659,NA,NA
755,301,371,659,NA,NA
756,301,371,659,NA,NA
757,301,371,659,NA,NA
758,301,371,659,NA,NA
759,301,371,659,NA,NA
760,188,301,371,NA,NA
761,188,301,371,NA,NA
762,188,301,371,NA,NA
763,188,301,371,NA,NA
764,179,188,371,NA,NA
765,179,188,371,NA,NA
766,175,179,371,NA,NA
767,175,179,371,NA,NA
768,175,179,371,NA,NA
769,769,NA,NA,NA,NA
770,423,659,845,NA,NA
771,301,423,659,NA,NA
772,301,423,659,NA,NA
773,301,423,659,NA,NA
774,301,423,659,NA,NA
775,301,371,659,NA,NA
776,301,371,659,NA,NA
777,301,371,659,NA,NA
778,301,371,659,NA,NA
779,301,371,659,NA,NA
780,301,371,659,NA,NA
781,301,371,659,NA,NA
782,188,301,371,NA,NA
783,188,301,371,NA,NA
784,188,301,371,NA,NA
785,188,301,371,NA,NA
786,188,301,371,NA,NA
787,179,188,371,NA,NA
788,179,188,371,NA,NA
789,179,188,371,NA,NA
790,175,179,371,NA,NA
791,175,179,371,NA,NA
792,175,179,371,NA,NA
793,635,793,1793,NA,NA
794,635,800,1153,NA,NA
795,635,800,1153,1351,NA
796,635,1153,1565,NA,NA
797,797,NA,NA,NA,NA
798,635,636,793,1793,NA
799,370,635,793,NA,NA
800,800,NA,NA,NA,NA
801,635,800,1153,NA,NA
802,635,800,1153,NA,NA
803,635,800,1153,NA,NA
804,635,800,1153,NA,NA
805,635,800,1153,NA,NA
806,635,800,1153,NA,NA
807,635,800,1153,NA,NA
808,635,800,1153,NA,NA
809,370,635,793,NA,NA
810,370,635,793,NA,NA
811,659,800,845,NA,NA
812,659,800,845,NA,NA
813,659,800,845,NA,NA
814,635,659,800,NA,NA
815,635,659,800,NA,NA
816,635,659,800,NA,NA
817,635,659,800,NA,NA
818,635,659,800,NA,NA
819,635,659,800,NA,NA
820,371,635,659,NA,NA
821,371,635,659,NA,NA
822,371,635,659,NA,NA
823,371,635,659,NA,NA
824,370,371,635,NA,NA
825,370,371,635,NA,NA
826,659,800,845,NA,NA
827,659,800,845,NA,NA
828,659,800,845,NA,NA
829,659,800,845,NA,NA
830,659,800,845,NA,NA
831,635,659,800,NA,NA
832,635,659,800,NA,NA
833,635,659,800,NA,NA
834,635,659,800,NA,NA
835,371,635,659,NA,NA
836,371,635,659,NA,NA
837,371,635,659,NA,NA
838,371,635,659,NA,NA
839,371,635,659,NA,NA
840,371,635,659,NA,NA
841,371,635,659,NA,NA
842,371,635,659,NA,NA
843,370,371,635,NA,NA
844,370,371,635,NA,NA
845,845,NA,NA,NA,NA
846,846,NA,NA,NA,NA
847,659,800,845,NA,NA
848,659,800,845,NA,NA
849,659,676,800,845,NA
